Name,Card Type,Code,Color,Trait,Level,Cost,AP,HP,Link Requirement,Command Pilot/Pilot Name,Unit Link (Pilot/Trait),Link Description,Pair Effect,Pair Description,Repair,Breach,Support,High Maneuver,Destroyed Effect,Deploy Effect,Rest Effect,First Strike Effect,Ping Effect,Token/Unit Generation,Resource Generation,Cost Reduction Effect,Set Unit/Base As Active,Active Enemy Target Effect,Draw Card Effect,Recover Effect,AP(+) Effect,AP(-) Effect,HP(+) Effect,AP Reduction Prevention,Damage Prevention Effect,Force Target Priority,Bounce Effect,Blocker,Effect Description
Gundam Deathscythe | XXXG-01D,Unit,GD01-025,Green,(Operation Meteor),6,4,5,4,Yes,None,Duo Maxwell,None,Yes,[When Paired (Operation Meteor) Pilot] Place 1 rested Resource. Then this Unit gains <First Strike> during this turn,0,0,0,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Paired (Operation Meteor) Pilot] Place 1 rested Resource. Then this Unit gains <First Strike> during this turn.
Char's Zaku II | MS-065,Unit,GD01-026,Green,(Zeon),3,2,3,2,Yes,None,Char Aznable,None,Yes,[During Pair][Destroyed] Deply 1 rested [Char's Zaku II]((Zeon)Unit token.,0,0,0,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[During Pair][Destroyed] Deploy 1 rested [Char's Zaku II]((Zeon)Unit token.
Big Zam | MA-08,Unit,GD01-027,Green,(Zeon),7,5,5,6,Yes,None,Dozle Zabi,None,No,None,0,4,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Deploy] If there are 10 or more (Zeon)/Neo Zeon) Unit cards in your trash, deal 4 damage to all Units with <Blocker>."
Gundam Sandrock | XXXG-01SR,Unit,GD01-028,Green,(Operation Meteor),5,3,4,4,Yes,None,Quatre Raberba Winner,None,No,None,0,0,0,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy] You may deploy 1 (Maganac Corps) Unit card from your hand.
Shenlong Gundam | XXG-015,Unit,GD01-029,Green,(Operation Meteor),5,4,4,4,Yes,None,Change Wufei,None,No,None,0,4,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Attack] Choose 1 enemy Unit with <Blocker> that is Lv.3 or lower. Destroy it.
Rick Dom | MS-09R,Unit,GD01-030,Green,(Zeon),3,2,3,3,No,None,None,None,No,None,0,2,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gelgoog | MS-14,Unit,GD01-031,Green,(Zeon),4,2,4,3,Yes,None,Zeon (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gyan | YMS-1S,Unit,GD01-032,Green,(Zeon),4,3,4,3,Yes,None,M'Quve,None,Yes,[When Paired (Zeon) Pilot] Choose 1 enemy Unit with <Blocker> that is Lv.2 or lower. Destroy it.,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Paired (Zeon) Pilot] Choose 1 enemy Unit with <Blocker> that is Lv.2 or lower. Destroy it.
Gundam Deathscythe | XXXG-01D,Unit,GD01-033,Green,(Operation Meteor),4,2,4,3,Yes,None,Duo Maxwell,None,No,None,1,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gundam Heavyarms | XXXG-01H,Unit,GD01-034,Green,(Operation Meteor),4,2,3,4,Yes,None,Trowa Barton,None,Yes,[During Pair] This Unit gains <Breach 3>.,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[During Pair] This Unit gains <Breach 3>.
Zaku II | MS-06,Unit,GD01-035,Green,(Zeon),2,1,2,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gouf | MS-078,Unit,GD01-036,Green,(Zeon),2,2,3,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gogg | MSM-03,Unit,GD01-037,Green,(Zeon),2,2,2,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Adzam | MAX-03,Unit,GD01-038,Green,(Zeon),5,4,2,5,Yes,None,Zeon (Trait),None,No,None,0,0,0,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Deploy] If 5 or more enemy Units are in play, deal 1 damage to all enemy Units."
Dopp,Unit,GD01-039,Green,(Zeon),1,1,1,1,No,None,None,None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy] Look at the top card of your deck. Return it to the top or bottom of your deck.
Wing Gundam | XXXG-01W,Unit,GD01-040,Green,(Operation Meteor),5,2,4,3,Yes,None,Heero Yuy,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Shenlong Gundam | XXXG-01S,Unit,GD01-041,Green,(Operation Meteor),4,3,4,3,Yes,None,Change Wufei,None,No,None,0,3,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Duo's Leo | OZ-06MS,Unit,GD01-042,Green,(Operation Meteor),2,2,2,2,Yes,None,Duo Maxwell,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,This Unit may choose an active enemy Unit that is Lv. 2 or less as its attach target.
Rasid's Maganac | WMS-03,Unit,GD01-043,Green,(Maganac Corps),3,2,2,3,Yes,None,Maganac Corps (Trait),None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"[Deploy] Choose 1 of your green Units. During this turn, it may choose an active enemy Unit with 4 or less AP as its attack target."
Kshatriya | NZ-666,Unit,GD01-044,Red,(Neo Zeon),5,4,5,4,Yes,None,Marida Cruz,None,Yes,[When Paired (Cyber-Newtype)/(Newtype) Pilot] Choose 1 to 2 enemy Units. Deal 1 damage to them.,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Paired (Cyber-Newtype)/(Newtype) Pilot] Choose 1 to 2 enemy Units. Deal 1 damage to them.
Duel Gundam (Assault Shroud) | GAT-X102,Unit,GD01-045,Red,(ZAFT),5,4,4,4,Yes,None,Yzak Jule,None,Yes,[When Paired] Look at the top 3 cards of your deck. You may deploy 1 (ZAFT) Unit card that is Lv.4 or lower among them. Return the remaining cards randomly to the bottom of your deck.,0,0,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Paired] Look at the top 3 cards of your deck. You may deploy 1 (ZAFT) Unit card that is Lv.4 or lower among them. Return the remaining cards randomly to the bottom of your deck.
Buster Gundam | GAT-X103,Unit,GD01-046,Red,(ZAFT),4,2,1,4,Yes,None,Dearka Elthman,None,Yes,"[During Pair (Coordinator) Pilot] When you use this Unit's <Support> to increase a (ZAFT) Unit's AP, set this Unit as active.",0,0,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Activate Main] <Support 3> [During Pair (Coordinator) Pilot] When you use this Unit's <Support> to increase a (ZAFT) Unit's AP, set this Unit as active."
Shamblo | AMA-X7,Unit,GD01-047,Red,(Zeon),8,7,6,5,Yes,None,Newtype/Cyber-Newtype (Trait),None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Attack] If 2 or more other rested fiendly Units are in play, choose 1 enemy Unit. Deal 3 damage to it."
Zaku 1 Sniper Type | MS-05L,Unit,GD01-048,Red,(Zeon),2,2,0,1,Yes,None,Zeon (Trait),None,No,None,0,0,1,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[Activate Main] <Support 1> [Deploy] Look at the top card of your deck. If it is a (Zeon)/(Neo Zeon) Unit card, you may reveal it and add it to your hand. Return any remaining card to the bottom of your deck."
Blitz Gundam | GAT-X207,Unit,GD01-049,Red,(ZAFT),4,3,3,3,Yes,None,Nicol Amarfi,None,No,None,0,0,0,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy] Choose 1 of your (ZAFT) Units with 4 or more AP. It gains <First Strike> during this turn.
LaGOWE | TMF-A-803,Unit,GD01-050,Red,(ZAFT),3,2,2,3,Yes,None,ZAFT (Trait),None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Attack] If this Unit has 5 or more AP and it is attacking an enemy Unit, choose 1 enemy Unit. Deal 2 damage to it."
Kshatriya | NZ-666,Unit,GD01-051,Red,(Neo Zeon),4,2,3,4,Yes,None,Cyber-Newtype (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Geara Zulu (Guards Type) | AMS-129,Unit,GD01-052,Red,(Neo Zeon),4,3,2,4,No,None,None,None,No,None,0,0,0,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Deploy 1 enemy Unit. Deal 1 damage to it.
Geara Doga (Heavy Armed Type) | AMS-119,Unit,GD01-053,Red,(Neo Zeon),4,3,4,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Activate Main] [Once per Turn] 1 : choose 1 enemy Unit with 2 or less AP. Deal 1 damage to it.
Duel Gundam | GAT-X102,Unit,GD01-054,Red,(ZAFT),3,2,3,3,Yes,None,ZAFT (Trait),None,No,None,0,3*,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[While this Unit has 5 or more AP, it gains <Breach 3>."
BuCUE | TMF/A-802,Unit,GD01-055,Red,(ZAFT),3,2,2,3,No,None,ZAFT (Trait),None,No,None,0,0,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Activate Main] <Support 2>
Geara Doga (Sleeves) | AMS-119,Unit,GD01-056,Red,(Neo Zeon),3,2,2,3,No,None,None,None,No,None,0,0,0,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Destroyed] Choose 1 enemy Unit with 5 or less AP. Deal 1 damage to it.
Dreissen (Sleeves) | AMX-009,Unit,GD01-057,Red,(Neo Zeon),2,2,2,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Galluss-K | AMX-101K,Unit,GD01-058,Red,(Zeon),3,2,3,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,[Activate Action] [Once per Turn] 1 : Choose 1 Unit that is Lv.4 or higher. It gets AP+1 during this battle.
Zee Zulu | AMS-129M,Unit,GD01-059,Red,(Neo Zeon),2,2,2,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"[Attack] If you are attacking the enemy player, this Unit gets AP+2 during this battle."
Zaku Mariner | RMS-192M,Unit,GD01-060,Red,(Zeon),2,1,2,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
ZuOOT | TFA-2,Unit,GD01-061,Red,(ZAFT),1,1,0,2,No,None,None,None,No,None,0,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Activate Main] <Support 1>
GOOhN | UMF-4R,Unit,GD01-062,Red,(ZAFT),1,1,1,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
ZnO | UMF-5,Unit,GD01-063,Red,(ZAFT),2,2,2,1,Yes,None,ZAFT (Trait),None,No,None,0,0,0,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"During your turn, while this Unit is battling an enemy Unit that is Lv.2 or lower, it gains <First Strike>."
DINN | AMF-101,Unit,GD01-064,Red,(ZAFT),2,2,3,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Freedom Gundam | ZGMF-X10A,Unit,GD01-065,White,(Triple Ship Alliance),7,5,4,6,Yes,None,Kira Yamato,None,Yes,"[During Pair] [Once per Turn] When you pair a Pilot with this Unit or one of your white Units, choose 1 enemy Unit. It gets AP-2 during this turn.",0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,"[During Pair] [Once per Turn] When you pair a Pilot with this Unit or one of your white Units, choose 1 enemy Unit. It gets AP-2 during this turn."
Justice Gundam | ZGMF-X09A,Unit,GD01-066,White,(Triple Ship Alliance),7,5,5,5,Yes,None,Athrun Zala,None,Yes,[During Pair] [Attack] Choose 1 of your (Triple Ship Alliance) Unit tokens. It may attack on the turn it is deployed.,0,0,0,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy] Deploy 1 [Fatum-00]((Triple Ship Alliance)-AP2-HP2-<Blocker>) Unit token. [During Pair] [Attack] Choose 1 of your (Triple Ship Alliance) Unit tokens. It may attack on the turn it is deployed.
Gundam Aerial Rebuild | XVX-016RN,Unit,GD01-067,White,(Academy),6,5,5,4,Yes,None,Suletta Mercury,None,Yes,[When Paired] Choose 1 Command card that is LV.5 or lower from your trash. Add it to your hand.,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,[When Paired] Choose 1 Command card that is LV.5 or lower from your trash. Add it to your hand.
Perfect Strike Gundam,Unit,GD01-068,White,(Triple Ship Alliance),5,3,4,4,Yes,None,Earth Alliance (Trait),None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,[Deploy] Choose 1 enemy Unit with 1 HP. Return it to its owner's hand.
Strike Rouge | MBF-02,Unit,GD01-069,White,(Triple Ship Alliance),3,2,3,2,Yes,None,Orb (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,[Activate Main] [Once per Turn] 1 : Choose 1 of your rested white Units with <Blocker>. Set it as active. It can't attack during this turn.
Gundam Aerial | XVX-016,Unit,GD01-070,White,(Academy),5,3,3,3,Yes,None,Suletta Mercury,None,No,None,0,0,0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"While there are 4 or more Command cards in your trash, this card in your hand gets cost -2."
Gundam Pharact | FP/A-77,Unit,GD01-071,White,(Academy),4,3,3,4,Yes,None,Academy (Trait),[During Link] [Attack] Choose 1 enemy Unit. It gets AP-2 during this battle.,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,[During Link] [Attack] Choose 1 enemy Unit. It gets AP-2 during this battle.
Launcher Strike Gundam,Unit,GD01-072,White,(Earth Alliance),4,3,3,4,Yes,None,Earth Alliance (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,None
Sword Strike Gundam,Unit,GD01-073,White,(Earth Alliance),4,3,4,3,Yes,None,Earth Alliance (Trait),[During Link] [Attack] Choose 1 enemy Unit with 2 or less HP. Return it to its owner's hand,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,[During Link] [Attack] Choose 1 enemy Unit with 2 or less HP. Return it to its owner's hand.
Chuchu's Demi Trainer | MSJ-105CC,Unit,GD01-074,White,(Academy),2,2,3,1,Yes,None,Chuatury Panlunch,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[Attack] Draw 1. Then, discard 1."
Darilbalde | MD-0064,Unit,GD01-075,White,(Academy),3,2,4,2,Yes,None,Academy (Trait),None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,[Deploy] Choose 1 enemy Unit with 1 HP. Return it to its owner's hand.
Michaelis | CFK-029,Unit,GD01-076,White,(Academy),3,2,3,3,Yes,None,Academy (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"When there are 4 or more Command Cards in your trash, this Unit gets AP+1 and HP+1"
Strike Gundam | GAT-X105,Unit,GD01-077,White,(Earth Alliance),4,2,3,4,Yes,None,Kira Yamato,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Mistral | MAW-01,Unit,GD01-078,White,(Earth Alliance),1,1,1,1,No,None,None,None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,[Deploy] Choose 1 enemy Unit. It gets AP-1 during this turn.
Skygrasper | FX-550,Unit,GD01-079,White,(Earth Alliance),2,2,2,2,Yes,None,Earth Alliance (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Cagalli's Skygrasper | FX-550,Unit,GD01-080,White,(Earth Alliance),2,2,2,1,Yes,None,Cagalli Yula Athha,None,No,None,0,0,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,[Destroyed] Choose 1 enemy Unit that is Lv.2 or lower. Return it to its owner's hand.
M1 Astray | MBF-M1,Unit,GD01-081,White,(Triple Ship Alliance),2,2,2,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes*,"While you have another (Triple Ship Alliance) Unit in play, this Unit gets AP+1 and <Blocker>"
Gundam Aerial (Mirasoul Flight Unit) | XVX-016,Unit,GD01-082,White,(Academy),4,3,4,3,Yes,None,Suletta Mercury,None,Yes,"[During Pair] [Activate Action] [Once per Turn] 2 Choose 1 enemy Unit, it gets AP-1 during this battle.",0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"[During Pair] [Activate Action] [Once per Turn] 2 Choose 1 enemy Unit, it gets AP-1 during this battle."
Guel's Dilanza | MO-0032G,Unit,GD01-083,White,(Academy),2,2,2,2,Yes,None,Academy (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Beguir-Pente | CEK-077,Unit,GD01-084,White,(Academy),2,2,2,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Demi Garrison | MSJ-OP122,Unit,GD01-085,White,(Academy),2,1,2,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gundam Lfrith | XGF-02,Unit,GD01-086,White,(Vanadis Institute),3,2,2,4,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,None
Sayla Mass,Pilot,GD01-087,Blue,(Earth Federation)(White Base Team)(Newtype),3,1,1,1,No,Sayla Mass,None,None,No,None,1,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"While this Unit is blue, it gains <Repair 1>"
