card_number,card_name,card_type,colors,lv,cost,ap,hp,traits,effects,link_conditions,pilot_name,pilot_ap,pilot_hp,rarity,set_id,zone,effect_raw
GD01-011,Loto | D-50C,Unit,blue,2,2,2,2,Earth Federation,,Earth Federation (Trait),,0,0,,GD01,,None
GD01-012,Zech's Leo | OZ-06MS,Unit,blue,3,2,3,2,OZ,,OZ (Trait),,0,0,,GD01,,[When Paired] Choose 1 enemy Unit with 3 or less HP. Rest it.
GD01-013,Gundam | RX-78-2,Unit,blue,4,2,3,4,"Earth Federation,White Base Team",,Amuro Ray,,0,0,,GD01,,None
GD01-014,G-Sky Easy,Unit,blue,3,2,1,3,White Base Team,recover,White Base Team (Trait),,0,0,,GD01,,[During Link] [Activate Action] [Once per Turn] Choose 1 Unit. It recovers 1 HP.
GD01-015,Ball | RB-79,Unit,blue,1,1,1,1,Earth Federation,recover,,,0,0,,GD01,,[Attack] Choose1 of your Units. It recovers 1 HP.
GD01-016,Jegan | RGM-890,Unit,blue,3,2,2,3,Earth Federation,,,,0,0,,GD01,,"While you have 2 or more (Earth Federation) Units in play, this card in your hand gets -1 cost."
GD01-017,Stark Jegan | RGM-89S,Unit,blue,3,3,3,3,Earth Federation,repair:1,Earth Federation (Trait),,0,0,,GD01,,None
GD01-018,ReZEL | RGZ-95,Unit,blue,3,2,4,3,Earth Federation,,,,0,0,,GD01,,None
GD01-019,Byarlant Custom | RX-160S,Unit,blue,4,2,3,4,Earth Federation,,,,0,0,,GD01,,"While 4 or more enemy Units are in play, this Unit gains <Blocker>."
GD01-020,Anksha | RAS-96,Unit,blue,4,2,3,3,Earth Federation,"deploy,ping",,,0,0,,GD01,,[Deploy] Choose 1 rested enemy Unit. Deal 1 damage to it.
GD01-021,Pisces | OZ-09MMS,Unit,blue,1,1,1,2,OZ,,,,0,0,,GD01,,None
GD01-022,Cancer | OZ-08MMS,Unit,blue,2,2,2,3,OZ,,,,0,0,,GD01,,None
GD01-023,Char's Gelgoog | MS-14S,Unit,green,4,4,4,3,Zeon,,Char Aznable,,0,0,,GD01,,"[Activate Main] Discard 1 (Zeon)/(Neo Zeon) Unit card : If a Pilot is not paired with this Unit, choose 1 (Newtype) Pilot that is Lv.3 or lower from your trash. Pair it with this Unit."
GD01-024,Wing Gundam Zero,Unit,green,8,8,5,7,G Team,"high_maneuver,deploy",Heero Yuy,,0,0,,GD01,,[Deploy]Deal 3 damage to all Units that are Lv.5 or lower.
GD01-025,Gundam Deathscythe | XXXG-01D,Unit,green,6,4,5,4,Operation Meteor,first_strike,Duo Maxwell,,0,0,,GD01,,[When Paired (Operation Meteor) Pilot] Place 1 rested Resource. Then this Unit gains <First Strike> during this turn.
GD01-026,Char's Zaku II | MS-065,Unit,green,3,2,3,2,Zeon,,Char Aznable,,0,0,,GD01,,[During Pair][Destroyed] Deploy 1 rested [Char's Zaku II]((Zeon)Unit token.
GD01-027,Big Zam | MA-08,Unit,green,7,5,5,6,Zeon,"breach:4,deploy",Dozle Zabi,,0,0,,GD01,,"[Deploy] If there are 10 or more (Zeon)/Neo Zeon) Unit cards in your trash, deal 4 damage to all Units with <Blocker>."
GD01-028,Gundam Sandrock | XXXG-01SR,Unit,green,5,3,4,4,Operation Meteor,deploy,Quatre Raberba Winner,,0,0,,GD01,,[Deploy] You may deploy 1 (Maganac Corps) Unit card from your hand.
GD01-029,Shenlong Gundam | XXG-015,Unit,green,5,4,4,4,Operation Meteor,breach:4,Change Wufei,,0,0,,GD01,,[Attack] Choose 1 enemy Unit with <Blocker> that is Lv.3 or lower. Destroy it.
GD01-030,Rick Dom | MS-09R,Unit,green,3,2,3,3,Zeon,breach:2,,,0,0,,GD01,,None
GD01-031,Gelgoog | MS-14,Unit,green,4,2,4,3,Zeon,,Zeon (Trait),,0,0,,GD01,,None
GD01-032,Gyan | YMS-1S,Unit,green,4,3,4,3,Zeon,,M'Quve,,0,0,,GD01,,[When Paired (Zeon) Pilot] Choose 1 enemy Unit with <Blocker> that is Lv.2 or lower. Destroy it.
GD01-033,Gundam Deathscythe | XXXG-01D,Unit,green,4,2,4,3,Operation Meteor,repair:1,Duo Maxwell,,0,0,,GD01,,None
GD01-034,Gundam Heavyarms | XXXG-01H,Unit,green,4,2,3,4,Operation Meteor,,Trowa Barton,,0,0,,GD01,,[During Pair] This Unit gains <Breach 3>.
GD01-035,Zaku II | MS-06,Unit,green,2,1,2,2,Zeon,,,,0,0,,GD01,,None
GD01-036,Gouf | MS-078,Unit,green,2,2,3,2,Zeon,,,,0,0,,GD01,,None
GD01-037,Gogg | MSM-03,Unit,green,2,2,2,3,Zeon,,,,0,0,,GD01,,None
GD01-038,Adzam | MAX-03,Unit,green,5,4,2,5,Zeon,"deploy,ping",Zeon (Trait),,0,0,,GD01,,"[Deploy] If 5 or more enemy Units are in play, deal 1 damage to all enemy Units."
GD01-039,Dopp,Unit,green,1,1,1,1,Zeon,deploy,,,0,0,,GD01,,[Deploy] Look at the top card of your deck. Return it to the top or bottom of your deck.
GD01-040,Wing Gundam | XXXG-01W,Unit,green,5,2,4,3,Operation Meteor,,Heero Yuy,,0,0,,GD01,,None
GD01-041,Shenlong Gundam | XXXG-01S,Unit,green,4,3,4,3,Operation Meteor,breach:3,Change Wufei,,0,0,,GD01,,None
GD01-042,Duo's Leo | OZ-06MS,Unit,green,2,2,2,2,Operation Meteor,,Duo Maxwell,,0,0,,GD01,,This Unit may choose an active enemy Unit that is Lv. 2 or less as its attach target.
GD01-043,Rasid's Maganac | WMS-03,Unit,green,3,2,2,3,Maganac Corps,deploy,Maganac Corps (Trait),,0,0,,GD01,,"[Deploy] Choose 1 of your green Units. During this turn, it may choose an active enemy Unit with 4 or less AP as its attack target."
GD01-044,Kshatriya | NZ-666,Unit,red,5,4,5,4,Neo Zeon,ping,Marida Cruz,,0,0,,GD01,,[When Paired (Cyber-Newtype)/(Newtype) Pilot] Choose 1 to 2 enemy Units. Deal 1 damage to them.
GD01-045,Duel Gundam (Assault Shroud) | GAT-X102,Unit,red,5,4,4,4,ZAFT,,Yzak Jule,,0,0,,GD01,,[When Paired] Look at the top 3 cards of your deck. You may deploy 1 (ZAFT) Unit card that is Lv.4 or lower among them. Return the remaining cards randomly to the bottom of your deck.
GD01-046,Buster Gundam | GAT-X103,Unit,red,4,2,1,4,ZAFT,support:3,Dearka Elthman,,0,0,,GD01,,"[Activate Main] <Support 3> [During Pair (Coordinator) Pilot] When you use this Unit's <Support> to increase a (ZAFT) Unit's AP, set this Unit as active."
GD01-047,Shamblo | AMA-X7,Unit,red,8,7,6,5,Zeon,ping,Newtype/Cyber-Newtype (Trait),,0,0,,GD01,,"[Attack] If 2 or more other rested fiendly Units are in play, choose 1 enemy Unit. Deal 3 damage to it."
GD01-048,Zaku 1 Sniper Type | MS-05L,Unit,red,2,2,0,1,Zeon,"support:1,deploy_draw:1",Zeon (Trait),,0,0,,GD01,,"[Activate Main] <Support 1> [Deploy] Look at the top card of your deck. If it is a (Zeon)/(Neo Zeon) Unit card, you may reveal it and add it to your hand. Return any remaining card to the bottom of your deck."
GD01-049,Blitz Gundam | GAT-X207,Unit,red,4,3,3,3,ZAFT,"first_strike,deploy",Nicol Amarfi,,0,0,,GD01,,[Deploy] Choose 1 of your (ZAFT) Units with 4 or more AP. It gains <First Strike> during this turn.
GD01-050,LaGOWE | TMF-A-803,Unit,red,3,2,2,3,ZAFT,ping,ZAFT (Trait),,0,0,,GD01,,"[Attack] If this Unit has 5 or more AP and it is attacking an enemy Unit, choose 1 enemy Unit. Deal 2 damage to it."
GD01-051,Kshatriya | NZ-666,Unit,red,4,2,3,4,Neo Zeon,,Cyber-Newtype (Trait),,0,0,,GD01,,None
GD01-052,Geara Zulu (Guards Type) | AMS-129,Unit,red,4,3,2,4,Neo Zeon,"deploy,ping",,,0,0,,GD01,,Deploy 1 enemy Unit. Deal 1 damage to it.
GD01-053,Geara Doga (Heavy Armed Type) | AMS-119,Unit,red,4,3,4,2,Neo Zeon,ping,,,0,0,,GD01,,[Activate Main] [Once per Turn] 1 : choose 1 enemy Unit with 2 or less AP. Deal 1 damage to it.
GD01-054,Duel Gundam | GAT-X102,Unit,red,3,2,3,3,ZAFT,breach:3,ZAFT (Trait),,0,0,,GD01,,"[While this Unit has 5 or more AP, it gains <Breach 3>."
GD01-055,BuCUE | TMF/A-802,Unit,red,3,2,2,3,ZAFT,support:2,ZAFT (Trait),,0,0,,GD01,,[Activate Main] <Support 2>
GD01-056,Geara Doga (Sleeves) | AMS-119,Unit,red,3,2,2,3,Neo Zeon,ping,,,0,0,,GD01,,[Destroyed] Choose 1 enemy Unit with 5 or less AP. Deal 1 damage to it.
GD01-057,Dreissen (Sleeves) | AMX-009,Unit,red,2,2,2,3,Neo Zeon,,,,0,0,,GD01,,None
GD01-058,Galluss-K | AMX-101K,Unit,red,3,2,3,2,Zeon,,,,0,0,,GD01,,[Activate Action] [Once per Turn] 1 : Choose 1 Unit that is Lv.4 or higher. It gets AP+1 during this battle.
GD01-059,Zee Zulu | AMS-129M,Unit,red,2,2,2,2,Neo Zeon,,,,0,0,,GD01,,"[Attack] If you are attacking the enemy player, this Unit gets AP+2 during this battle."
GD01-060,Zaku Mariner | RMS-192M,Unit,red,2,1,2,2,Zeon,,,,0,0,,GD01,,None
GD01-061,ZuOOT | TFA-2,Unit,red,1,1,0,2,ZAFT,support:1,,,0,0,,GD01,,[Activate Main] <Support 1>
GD01-062,GOOhN | UMF-4R,Unit,red,1,1,1,2,ZAFT,,,,0,0,,GD01,,None
GD01-063,ZnO | UMF-5,Unit,red,2,2,2,1,ZAFT,first_strike,ZAFT (Trait),,0,0,,GD01,,"During your turn, while this Unit is battling an enemy Unit that is Lv.2 or lower, it gains <First Strike>."
GD01-064,DINN | AMF-101,Unit,red,2,2,3,2,ZAFT,,,,0,0,,GD01,,None
GD01-065,Freedom Gundam | ZGMF-X10A,Unit,white,7,5,4,6,Triple Ship Alliance,blocker,Kira Yamato,,0,0,,GD01,,"[During Pair] [Once per Turn] When you pair a Pilot with this Unit or one of your white Units, choose 1 enemy Unit. It gets AP-2 during this turn."
GD01-066,Justice Gundam | ZGMF-X09A,Unit,white,7,5,5,5,Triple Ship Alliance,deploy,Athrun Zala,,0,0,,GD01,,[Deploy] Deploy 1 [Fatum-00]((Triple Ship Alliance)-AP2-HP2-<Blocker>) Unit token. [During Pair] [Attack] Choose 1 of your (Triple Ship Alliance) Unit tokens. It may attack on the turn it is deployed.
GD01-067,Gundam Aerial Rebuild | XVX-016RN,Unit,white,6,5,5,4,Academy,deploy_draw:1,Suletta Mercury,,0,0,,GD01,,[When Paired] Choose 1 Command card that is LV.5 or lower from your trash. Add it to your hand.
GD01-068,Perfect Strike Gundam,Unit,white,5,3,4,4,Triple Ship Alliance,"blocker,deploy",Earth Alliance (Trait),,0,0,,GD01,,[Deploy] Choose 1 enemy Unit with 1 HP. Return it to its owner's hand.
GD01-069,Strike Rouge | MBF-02,Unit,white,3,2,3,2,Triple Ship Alliance,,Orb (Trait),,0,0,,GD01,,[Activate Main] [Once per Turn] 1 : Choose 1 of your rested white Units with <Blocker>. Set it as active. It can't attack during this turn.
GD01-070,Gundam Aerial | XVX-016,Unit,white,5,3,3,3,Academy,,Suletta Mercury,,0,0,,GD01,,"While there are 4 or more Command cards in your trash, this card in your hand gets cost -2."
GD01-071,Gundam Pharact | FP/A-77,Unit,white,4,3,3,4,Academy,,Academy (Trait),,0,0,,GD01,,[During Link] [Attack] Choose 1 enemy Unit. It gets AP-2 during this battle.
GD01-072,Launcher Strike Gundam,Unit,white,4,3,3,4,Earth Alliance,blocker,Earth Alliance (Trait),,0,0,,GD01,,None
GD01-073,Sword Strike Gundam,Unit,white,4,3,4,3,Earth Alliance,,Earth Alliance (Trait),,0,0,,GD01,,[During Link] [Attack] Choose 1 enemy Unit with 2 or less HP. Return it to its owner's hand.
GD01-074,Chuchu's Demi Trainer | MSJ-105CC,Unit,white,2,2,3,1,Academy,deploy_draw:1,Chuatury Panlunch,,0,0,,GD01,,"[Attack] Draw 1. Then, discard 1."
GD01-075,Darilbalde | MD-0064,Unit,white,3,2,4,2,Academy,deploy,Academy (Trait),,0,0,,GD01,,[Deploy] Choose 1 enemy Unit with 1 HP. Return it to its owner's hand.
GD01-076,Michaelis | CFK-029,Unit,white,3,2,3,3,Academy,,Academy (Trait),,0,0,,GD01,,"When there are 4 or more Command Cards in your trash, this Unit gets AP+1 and HP+1"
GD01-077,Strike Gundam | GAT-X105,Unit,white,4,2,3,4,Earth Alliance,,Kira Yamato,,0,0,,GD01,,None
GD01-078,Mistral | MAW-01,Unit,white,1,1,1,1,Earth Alliance,deploy,,,0,0,,GD01,,[Deploy] Choose 1 enemy Unit. It gets AP-1 during this turn.
GD01-079,Skygrasper | FX-550,Unit,white,2,2,2,2,Earth Alliance,,Earth Alliance (Trait),,0,0,,GD01,,None
GD01-080,Cagalli's Skygrasper | FX-550,Unit,white,2,2,2,1,Earth Alliance,,Cagalli Yula Athha,,0,0,,GD01,,[Destroyed] Choose 1 enemy Unit that is Lv.2 or lower. Return it to its owner's hand.
GD01-081,M1 Astray | MBF-M1,Unit,white,2,2,2,2,Triple Ship Alliance,blocker,,,0,0,,GD01,,"While you have another (Triple Ship Alliance) Unit in play, this Unit gets AP+1 and <Blocker>"
GD01-082,Gundam Aerial (Mirasoul Flight Unit) | XVX-016,Unit,white,4,3,4,3,Academy,,Suletta Mercury,,0,0,,GD01,,"[During Pair] [Activate Action] [Once per Turn] 2 Choose 1 enemy Unit, it gets AP-1 during this battle."
GD01-083,Guel's Dilanza | MO-0032G,Unit,white,2,2,2,2,Academy,,Academy (Trait),,0,0,,GD01,,None
GD01-084,Beguir-Pente | CEK-077,Unit,white,2,2,2,3,Academy,,,,0,0,,GD01,,None
GD01-085,Demi Garrison | MSJ-OP122,Unit,white,2,1,2,2,Academy,,,,0,0,,GD01,,None
GD01-086,Gundam Lfrith | XGF-02,Unit,white,3,2,2,4,Vanadis Institute,blocker,,,0,0,,GD01,,None
GD01-087,Sayla Mass,Pilot,blue,3,1,0,0,"Earth Federation,White Base Team,Newtype",repair:1,,Sayla Mass,1,1,,GD01,,"While this Unit is blue, it gains <Repair 1>"
GD01-088,Banagher Links,Pilot,blue,5,1,0,0,"Civilian,Newtype",deploy_draw:1,,Banagher Links,2,2,,GD01,,[When Linked] Draw 1.
GD01-089,Riddhe Marcenas,Pilot,blue,3,1,0,0,Earth Federation,,,Riddhe Marcenas,1,1,,GD01,,"If this Unit has <Repair>, it gets AP+1"
GD01-090,Duo Maxwell,Pilot,green,4,1,0,0,Operation Meteor,,,Duo Maxwell,1,2,,GD01,,[During Link] This Unit's AP can't be reduced by enemy effects.
GD01-091,Change Wufei,Pilot,green,4,1,0,0,Operation Meteor,,,Change Wufei,2,1,,GD01,,"During your turn, if this Unit has <Breach>, it can't receive battle damage from enemy Units with 3 or less AP."
GD01-092,M'Quve,Pilot,green,3,1,0,0,Zeon,breach:1,,M'Quve,1,1,,GD01,,"White this Unit is (Zeon), it gains <Breach 1>"
GD01-093,Marida Cruz,Pilot,red,4,1,0,0,"Neo Zeon,Cyber-Newtype",ping,,Marida Cruz,2,1,,GD01,,[During Link] [Attack] Choose 1 enemy Unit whose Lv. is equal to or lower than this Unit. Deal 1 damage to it.
GD01-094,Yzak Jule,Pilot,red,3,1,0,0,"ZAFT,Coordinator",deploy_draw:1,,Yzak Jule,1,1,,GD01,,"[Once per Turn] When an enemy Link Unit is destroyed with damage while this Unit is attacking, draw 1."
GD01-095,Dearka Elthman,Pilot,red,3,1,0,0,"ZAFT,Coordinator",deploy_draw:1,,Dearka Elthman,1,1,,GD01,,"[When Linked] Discard 1. If you do, draw 1."
GD01-096,Cagalli Yula Athha,Pilot,white,4,1,0,0,Orb,blocker,,Cagalli Yula Athha,1,1,,GD01,,"While this Unit is white, it gains <Blocker>"
GD01-097,Guel Jeturk,Pilot,white,3,1,0,0,Academy,,,Guel Jeturk,1,1,,GD01,,"[Activate Main] [Once per Turn] If your opponent has 8 or more cards in their hand, set this Unit as active. It can't attack during this turn."
GD01-098,Elan Ceres (Enhanced Person Number 4),Pilot,white,4,1,0,0,Academy,recover,,Elan Ceres (Enhanced Person Number 4),2,1,,GD01,,"[Activate Action] [Once per Turn] If an enemy Unit with 1 or less AP is in play, this Unit recovers 1 HP."
GD01-099,Intercept Orders,Command,blue,4,2,0,0,,"deploy,timing:both",,,0,0,,GD01,,[Main] / [Action] Choose 1 to 2 enemy Units with 3 or less HP. Rest them.
GD01-100,A Show of Resolve,Command,blue,4,3,0,0,,"deploy_draw:1,timing:main",,,0,0,,GD01,,[Main] Draw 2.
GD01-101,Deep Devotion | Lucrezia Noin,Command,blue,2,1,1,0,OZ,"recover,timing:both",,Lucrezia Noin,0,0,,GD01,,[Main] / [Action] Choose 1 friendly Link Unit. It recovers 3 HP.
GD01-102,Securing the Supply Line,Command,blue,4,2,0,0,,"recover,timing:main",,,0,0,,GD01,,[Main] All friendly Units that art Lv.4 or lower recover 2 HP.
GD01-103,The Stubborn Cog | Daguza Mackle,Command,blue,1,1,0,1,Earth Federation,timing:main,,Daguza Mackle,0,0,,GD01,,[Main] Choose 1 active friendly (Earth Federation) Unit and 1 active enemy Unit. Rest them.
GD01-104,Signs of a Revolution,Command,blue,3,2,0,0,,"ping,timing:main",,,0,0,,GD01,,[Main] Choose 1 rested enemy Unit. Deal 2 damage to it.
GD01-105,"Citizens, Take a Stand!",Command,green,4,1,0,0,,timing:main,,,0,0,,GD01,,[Main] All your Units get AP+2 during this turn.
GD01-106,Fortress Defense | Dozle Zabi,Command,green,5,2,1,0,Zeon,timing:main,,Dozle Zabi,0,0,,GD01,,[Main] Deploy 2 [Zaku II]((Zeon) AP1 HP1) Unit tokens.
GD01-107,First Contact,Command,green,3,3,0,0,,timing:main,,,0,0,,GD01,,[Main] Place 1 rested Resource.
GD01-108,Strategic Arms,Command,green,6,6,0,0,,"ping,timing:main",,,0,0,,GD01,,[Main] Deal 2 damage to all Units with <Blocker>
GD01-109,The Path to Victory or Defeat,Command,green,5,1,0,0,,"deploy_draw:1,timing:main",,,0,0,,GD01,,[Main] Look at the top 5 cards of your deck. You may reveal 1 (Operation Meteor)/(G Team) Unit card/Pilot card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck.
GD01-110,Rasid's Orders | Rasid Kurama,Command,green,3,1,0,1,Maganac Corps,timing:both,,Rasid Kurama,0,0,,GD01,,"[Main] / [Action] Choose 1 Unit that is Lv.4 or higher. During this turn, it may choose an activate enemy Unit with 6 or less AP as its attack target."
GD01-111,Battle of Aces,Command,red,3,2,0,0,,"ping,timing:both",,,0,0,,GD01,,[Main] / [Action] Choose 1 damaged enemy Unit. Deal 3 damage to it. Burst: Choose 1 enemy Unit. Deal 2 damage to it.
GD01-112,Extreme Hatred | Loni Garvey,Command,red,6,1,1,0,"Zeon,Newtype","ping,timing:main",,Loni Garvey,0,0,,GD01,,"[Main] Choose 2 of your active Units. Rest them. If you do, choose 1 enemy Unit. Deal 3 damage to it."
GD01-113,The Desert Tiger | Andrew Waldfeld,Command,red,3,1,1,0,"ZAFT,Coordinator",timing:both,,Andrew Waldfeld,0,0,,GD01,,[Main] / [Action] Choose 1 friendly (ZAFT) Unit. It gets AP+3 during this turn.
GD01-114,Assault on Torrington Base | Yonem Kirks,Command,red,1,1,1,0,Zeon,timing:action,,Yonem Kirks,0,0,,GD01,,[Action] Choose 2 friendly Units. They get AP+1 during this turn.
GD01-115,Zeon Remnant Forces,Command,red,2,1,0,0,,"ping,timing:both",,,0,0,,GD01,,[Main] / [Action] Choose 1 enemy Unit. Deal 1 damage to it.
GD01-116,Stealth Stratagem | Nicol Amarfi,Command,red,2,1,0,1,"ZAFT,Coordinator","ping,timing:both",,Nicol Amarfi,0,0,,GD01,,[Main]/[Action] Choose 1 enemy Unit with 2 or less AP. Deal 2 damage to it.
GD01-117,The Witch and the Bride,Command,white,5,2,0,0,,timing:both,,,0,0,,GD01,,[Main] / [Action] Choose 1 enemy Unit with 5 or less HP. Return it to its owner's hand. Burst: Activate this card's [Main].
GD01-118,Overflowing Affection,Command,white,2,1,0,0,,"deploy_draw:1,timing:main",,,0,0,,GD01,,"[Main] Draw 2. Then, discard 1."
GD01-119,Iron-Fisted Discipline | Chuatury Panlunch,Command,white,2,1,1,0,Academy,timing:both,,Chuatury Panlunch,0,0,,GD01,,[Main] / [Action] Choose 1 enemy Unit that is Lv.4 or lower. It gets AP-2 during this turn.
GD01-120,Naval Bombardment,Command,white,2,1,0,0,,timing:action,,,0,0,,GD01,,[Action] Choose 1 friendly Unit with <Blocker>. It gets AP+3 during this turn. Burst: Choose 1 enemy Unit. It gets AP-3 during this turn.
GD01-121,Midair Modifications,Command,white,3,2,0,0,,timing:main,,,0,0,,GD01,,[Main] Choose 1 rested Unit with <Blocker>. Set it as active. It can't attack during this turn.
GD01-122,Covert Operative | Shaddiq Zenelli,Command,white,3,1,1,0,Academy,timing:main,,Shaddiq Zenelli,0,0,,GD01,,"[Main] Choose 1 enemy Unit with 2 or less HP. Return it to its owner's hand. If you have a Link Unit in play, choose 1 enemy Unit 4 or less HP instead."
GD01-123,Nahel Argama,Base,blue,3,2,0,5,"Earth Federation,Warship",,,,0,0,,GD01,,"Then, choose 1 enemy Unit with 3 or less HP. Rest it."
GD01-124,Side 7,Base,blue,1,1,0,4,"Earth Federation,Stronghold",recover,,,0,0,,GD01,,[Activate Main] Rest this Base: Choose 1 friendly Unit. It recovers 1 HP.
GD01-125,Zanzibar,Base,green,4,2,0,5,"Zeon,Warship",,,,0,0,,GD01,,"Then, if it is your turn, you may deploy 1 (Zeon) Unit card that is Lv.4 or lower from your hand."
GD01-126,Underground Desert Base,Base,green,2,1,0,6,"Maganac Corps,Stronghold",,,,0,0,,GD01,,None
GD01-127,Gamow,Base,red,2,1,0,5,"ZAFT,Warship",breach:3,,,0,0,,GD01,,[Activate Action] Rest this Base : Choose 1 friendly (ZAFT) Unit with 5 or more AP. It gains <Breach 3> during this battle.
GD01-128,Mining Asteroid Palau,Base,red,2,1,0,6,"Neo Zeon,Stronghold",,,,0,0,,GD01,,None
GD01-129,Kusanagi,Base,white,4,2,0,4,"Triple Ship Alliance,Warship",,,,0,0,,GD01,,"Then, choose 1 enemy Unit with 3 or less HP. Return it to its owner's hand."
GD01-130,13th Tactical Testing Sector,Base,white,3,1,0,5,"Academy,Stronghold",,,,0,0,,GD01,,"[Activate Main] Rest this Base: If a friendly (Academy) Unit is in play, choose 1 enemy Unit. It gets AP-1 during this turn."
GD02-001,Psycho Gundam,Unit,blue,6,4,4,5,Titans,"breach:3,recover",Four Murasame,,0,0,,GD02,,"[During Pair･(Cyber-Newtype) Pilot]When one of your (Titans) Units destroys an enemy shield area card with damage, this Unit recovers 2 HP"
GD02-002,Gundam Epyon,Unit,blue,8,7,6,6,White Fang,deploy_draw:1,Zechs Merquise,,0,0,,GD02,,"[During Link][Once per Turn]During your turn, when one of your Units destroys an enemy Unit with battle damage, set this Unit as active."
GD02-003,Gundam Mk-II (Titans),Unit,blue,4,3,4,2,Titans,,Titans (Trait),,0,0,,GD02,,"[During Pair･Lv.3 or Lower Pilot][Destroyed]You may discard 1 Unit card. If you do, return the card paired with this Unit to your hand."
GD02-004,Byarlant,Unit,blue,5,3,4,3,Titans,,Jerid Messa,,0,0,,GD02,,[When Paired]Choose 1 rested enemy Unit with 3 or less HP. It won't be set as active during the start phase of your opponent's next turn.
GD02-005,Tallgeese,Unit,blue,4,3,3,4,OZ,,OZ (Trait),,0,0,,GD02,,[During Link][Attack]Choose 1 enemy Unit with 2 or less HP. Rest it.
GD02-006,Forbidden Gundam,Unit,blue,5,3,4,4,Earth Alliance,blocker,Biological CPU (Trait),,0,0,,GD02,,"During your turn, this Unit can't receive battle damage from enemy Units that are Lv.2 or lower."
GD02-007,Psycho Gundam (MA Mode),Unit,blue,5,4,3,4,Titans,repair:2,Cyber-Newtype (Trait),,0,0,,GD02,,None
GD02-008,Gabthley,Unit,blue,4,3,4,3,Titans,ping,Titans (Trait),,0,0,,GD02,,[When Linked]Choose 1 rested enemy Unit. Deal 1 damage to it.
GD02-009,Calamity Gundam,Unit,blue,5,3,3,5,Earth Alliance,ping,Biological CPU (Trait),,0,0,,GD02,,"[Once per Turn]When this Unit's AP is reduced by an enemy effect, choose 1 rested enemy Unit. Deal 2 damage to it."
GD02-010,Raider Gundam,Unit,blue,5,3,4,4,Earth Alliance,deploy_draw:1,Biological CPU (Trait),,0,0,,GD02,,"[Once per Turn]When this Unit receives enemy effect damage, draw 1."
GD02-011,Moebius (Peacemaker Team),Unit,blue,4,2,0,1,Earth Alliance,ping,,,0,0,,GD02,,[Activate･Action]Destroy this Unit：Choose 1 enemy Base/enemy Shield this Unit is battling. Deal 6 damage to it.
GD02-012,Core Booster,Unit,blue,2,2,2,2,"Earth Federation,White Base Team",,White Base Team (Trait),,0,0,,GD02,,None
GD02-013,Hizack,Unit,blue,2,1,2,2,Titans,,,,0,0,,GD02,,None
GD02-014,Galbaldy Beta,Unit,blue,2,2,3,1,Titans,deploy,,,0,0,,GD02,,[Deploy]Choose 1 of your (Titans) Units. It gets AP+1 during this turn.
GD02-015,Marasai,Unit,blue,3,2,3,3,Titans,,Titans (Trait),,0,0,,GD02,,None
